Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_December,PCT_PLANTED_February,PCT_PLANTED_January,PCT_PLANTED_March,PCT_PLANTED_November,PCT_PLANTED_October,PCT_PLANTED_September
2004,GAINES,37.7,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,GAINES,29.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,GAINES,21.6,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,GAINES,33.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,GAINES,31.7,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,GLASSCOCK,30.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,GLASSCOCK,17.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,GLASSCOCK,35.6,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,GLASSCOCK,19.8,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,GLASSCOCK,12.9,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,GLASSCOCK,17.1,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,GLASSCOCK,13.1,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,GLASSCOCK,20.5,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HOCKLEY,30.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HOCKLEY,26.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HOCKLEY,26.5,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HOCKLEY,33.3,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HOCKLEY,17.4,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HOCKLEY,19.4,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HOCKLEY,30.7,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
