Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2014,GRAYSON,98.7,0.0,0.0,64.0,97.0,100.0,100.0
2015,GRAYSON,51.5,2.0,20.0,56.0,83.0,100.0,100.0
2016,GRAYSON,62.1,0.0,38.0,52.0,93.0,99.0,99.0
2017,GRAYSON,93.2,0.0,45.0,71.0,96.0,100.0,100.0
2018,GRAYSON,65.0,0.0,43.0,70.0,90.0,96.0,96.0
2019,GRAYSON,106.7,0.0,51.0,65.0,93.0,100.0,100.0
2020,GRAYSON,72.6,0.0,50.0,67.0,96.0,98.0,98.0
2021,GRAYSON,66.2,3.0,50.0,66.0,95.0,95.0,95.0
2022,GRAYSON,55.0,5.0,51.0,69.0,94.0,99.0,99.0
2023,GRAYSON,102.3,5.0,52.0,74.0,92.0,100.0,100.0
2004,HAMILTON,137.5,0.0,0.0,70.0,98.0,98.0,98.0
2005,HAMILTON,95.3,0.0,0.0,72.0,95.0,95.0,95.0
2006,HAMILTON,48.0,0.0,0.0,80.0,99.0,99.0,99.0
2010,HAMILTON,91.0,0.0,0.0,61.0,97.0,97.0,97.0
2000,HARRIS,85.5,0.0,0.0,80.0,97.0,97.0,97.0
2001,HARRIS,113.5,0.0,0.0,69.0,98.0,98.0,98.0
2002,HARRIS,82.4,0.0,0.0,75.0,99.0,100.0,100.0
2003,HARRIS,62.1,0.0,0.0,73.0,99.0,100.0,100.0
2004,HARRIS,94.8,0.0,0.0,70.0,98.0,98.0,98.0
2005,HARRIS,58.4,0.0,0.0,72.0,95.0,95.0,95.0
2006,HARRIS,80.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,HARRIS,134.0,0.0,0.0,70.0,98.0,98.0,98.0
2000,HAYS,87.6,0.0,0.0,80.0,97.0,97.0,97.0
2001,HAYS,60.4,0.0,0.0,69.0,98.0,98.0,98.0
2002,HAYS,30.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,HAYS,30.9,0.0,0.0,73.0,99.0,100.0,100.0
2004,HAYS,91.1,0.0,0.0,70.0,98.0,98.0,98.0
2005,HAYS,50.9,0.0,0.0,72.0,95.0,95.0,95.0
2006,HAYS,26.0,0.0,0.0,80.0,99.0,99.0,99.0
2011,HAYS,12.6,0.0,0.0,66.0,98.0,100.0,100.0
2014,HAYS,81.9,0.0,0.0,64.0,97.0,100.0,100.0
2016,HAYS,82.4,0.0,38.0,52.0,93.0,99.0,99.0
2017,HAYS,99.8,0.0,45.0,71.0,96.0,100.0,100.0
2018,HAYS,70.0,0.0,43.0,70.0,90.0,96.0,96.0
2019,HAYS,105.0,0.0,51.0,65.0,93.0,100.0,100.0
2020,HAYS,109.4,0.0,50.0,67.0,96.0,98.0,98.0
2021,HAYS,92.0,3.0,50.0,66.0,95.0,95.0,95.0
2022,HAYS,30.1,5.0,51.0,69.0,94.0,99.0,99.0
2000,HILL,102.1,0.0,0.0,80.0,97.0,97.0,97.0
2001,HILL,67.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,HILL,92.8,0.0,0.0,75.0,99.0,100.0,100.0
2003,HILL,100.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,HILL,100.5,0.0,0.0,70.0,98.0,98.0,98.0
2005,HILL,73.4,0.0,0.0,72.0,95.0,95.0,95.0
2006,HILL,41.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,HILL,95.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,HILL,55.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,HILL,50.2,0.0,0.0,74.0,98.0,100.0,100.0
2010,HILL,76.6,0.0,0.0,61.0,97.0,97.0,97.0
2011,HILL,46.0,0.0,0.0,66.0,98.0,100.0,100.0
2012,HILL,101.9,0.0,0.0,70.0,95.0,95.0,95.0
2013,HILL,97.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,HILL,113.0,0.0,0.0,64.0,97.0,100.0,100.0
2015,HILL,64.5,2.0,20.0,56.0,83.0,100.0,100.0
2016,HILL,80.4,0.0,38.0,52.0,93.0,99.0,99.0
2017,HILL,107.0,0.0,45.0,71.0,96.0,100.0,100.0
2018,HILL,62.0,0.0,43.0,70.0,90.0,96.0,96.0
2019,HILL,107.7,0.0,51.0,65.0,93.0,100.0,100.0
2020,HILL,100.3,0.0,50.0,67.0,96.0,98.0,98.0
2021,HILL,97.2,3.0,50.0,66.0,95.0,95.0,95.0
2022,HILL,65.1,5.0,51.0,69.0,94.0,99.0,99.0
2023,HILL,120.7,5.0,52.0,74.0,92.0,100.0,100.0
2024,HILL,80.9,3.0,57.0,71.0,92.0,100.0,100.0
2013,HOCKLEY,154.0,0.0,0.0,69.0,95.0,98.0,98.0
2014,HOCKLEY,130.5,0.0,0.0,64.0,97.0,100.0,100.0
2015,HOCKLEY,120.6,2.0,20.0,56.0,83.0,100.0,100.0
2016,HOCKLEY,105.4,0.0,38.0,52.0,93.0,99.0,99.0
2019,HOCKLEY,74.1,0.0,51.0,65.0,93.0,100.0,100.0
2020,HOCKLEY,83.0,0.0,50.0,67.0,96.0,98.0,98.0
2005,HOPKINS,60.7,0.0,0.0,72.0,95.0,95.0,95.0
2006,HOPKINS,39.0,0.0,0.0,80.0,99.0,99.0,99.0
2000,HOUSTON,103.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,HOUSTON,110.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,HOUSTON,87.2,0.0,0.0,75.0,99.0,100.0,100.0
2003,HOUSTON,96.3,0.0,0.0,73.0,99.0,100.0,100.0
2004,HOUSTON,92.1,0.0,0.0,70.0,98.0,98.0,98.0
2005,HOUSTON,44.3,0.0,0.0,72.0,95.0,95.0,95.0
2006,HOUSTON,62.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,HOUSTON,94.0,0.0,0.0,70.0,98.0,98.0,98.0
2000,HUNT,77.5,0.0,0.0,80.0,97.0,97.0,97.0
2002,HUNT,66.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,HUNT,107.4,0.0,0.0,73.0,99.0,100.0,100.0
2004,HUNT,108.7,0.0,0.0,70.0,98.0,98.0,98.0
2005,HUNT,57.2,0.0,0.0,72.0,95.0,95.0,95.0
2006,HUNT,41.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,HUNT,123.0,0.0,0.0,70.0,98.0,98.0,98.0
2009,HUNT,48.7,0.0,0.0,74.0,98.0,100.0,100.0
2010,HUNT,65.0,0.0,0.0,61.0,97.0,97.0,97.0
2012,HUNT,80.0,0.0,0.0,70.0,95.0,95.0,95.0
2013,HUNT,102.3,0.0,0.0,69.0,95.0,98.0,98.0
2014,HUNT,116.9,0.0,0.0,64.0,97.0,100.0,100.0
2017,HUNT,113.7,0.0,45.0,71.0,96.0,100.0,100.0
2018,HUNT,65.1,0.0,43.0,70.0,90.0,96.0,96.0
2019,HUNT,88.9,0.0,51.0,65.0,93.0,100.0,100.0
2021,HUNT,49.8,3.0,50.0,66.0,95.0,95.0,95.0
2024,HUNT,50.5,3.0,57.0,71.0,92.0,100.0,100.0
2000,JEFFERSON,21.0,0.0,0.0,80.0,97.0,97.0,97.0
2001,JEFFERSON,90.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,JEFFERSON,90.0,0.0,0.0,75.0,99.0,100.0,100.0
2000,JOHNSON,58.6,0.0,0.0,80.0,97.0,97.0,97.0
2001,JOHNSON,80.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,JOHNSON,81.8,0.0,0.0,75.0,99.0,100.0,100.0
2003,JOHNSON,98.5,0.0,0.0,73.0,99.0,100.0,100.0
2004,JOHNSON,96.0,0.0,0.0,70.0,98.0,98.0,98.0
2005,JOHNSON,66.1,0.0,0.0,72.0,95.0,95.0,95.0
2006,JOHNSON,32.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,JOHNSON,126.0,0.0,0.0,70.0,98.0,98.0,98.0
2009,JOHNSON,60.5,0.0,0.0,74.0,98.0,100.0,100.0
2010,JOHNSON,58.1,0.0,0.0,61.0,97.0,97.0,97.0
2012,JOHNSON,97.8,0.0,0.0,70.0,95.0,95.0,95.0
2013,JOHNSON,85.1,0.0,0.0,69.0,95.0,98.0,98.0
2014,JOHNSON,68.9,0.0,0.0,64.0,97.0,100.0,100.0
2015,JOHNSON,48.7,2.0,20.0,56.0,83.0,100.0,100.0
2016,JOHNSON,71.9,0.0,38.0,52.0,93.0,99.0,99.0
2018,JOHNSON,63.1,0.0,43.0,70.0,90.0,96.0,96.0
2019,JOHNSON,80.0,0.0,51.0,65.0,93.0,100.0,100.0
2020,JOHNSON,85.2,0.0,50.0,67.0,96.0,98.0,98.0
2021,JOHNSON,57.4,3.0,50.0,66.0,95.0,95.0,95.0
2023,JOHNSON,96.2,5.0,52.0,74.0,92.0,100.0,100.0
2000,KAUFMAN,104.8,0.0,0.0,80.0,97.0,97.0,97.0
2002,KAUFMAN,74.3,0.0,0.0,75.0,99.0,100.0,100.0
2003,KAUFMAN,87.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,KAUFMAN,88.0,0.0,0.0,70.0,98.0,98.0,98.0
2005,KAUFMAN,66.5,0.0,0.0,72.0,95.0,95.0,95.0
2006,KAUFMAN,31.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,KAUFMAN,81.0,0.0,0.0,70.0,98.0,98.0,98.0
2000,LAMAR,96.6,0.0,0.0,80.0,97.0,97.0,97.0
2001,LAMAR,112.3,0.0,0.0,69.0,98.0,98.0,98.0
2002,LAMAR,57.1,0.0,0.0,75.0,99.0,100.0,100.0
2003,LAMAR,114.4,0.0,0.0,73.0,99.0,100.0,100.0
2004,LAMAR,118.4,0.0,0.0,70.0,98.0,98.0,98.0
2005,LAMAR,63.5,0.0,0.0,72.0,95.0,95.0,95.0
2006,LAMAR,72.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,LAMAR,146.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,LAMAR,93.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,LAMAR,52.1,0.0,0.0,74.0,98.0,100.0,100.0
2010,LAMAR,72.0,0.0,0.0,61.0,97.0,97.0,97.0
2011,LAMAR,78.6,0.0,0.0,66.0,98.0,100.0,100.0
2012,LAMAR,115.0,0.0,0.0,70.0,95.0,95.0,95.0
2013,LAMAR,133.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,LAMAR,112.8,0.0,0.0,64.0,97.0,100.0,100.0
2015,LAMAR,64.9,2.0,20.0,56.0,83.0,100.0,100.0
2016,LAMAR,80.0,0.0,38.0,52.0,93.0,99.0,99.0
2017,LAMAR,129.4,0.0,45.0,71.0,96.0,100.0,100.0
2018,LAMAR,73.8,0.0,43.0,70.0,90.0,96.0,96.0
2019,LAMAR,105.9,0.0,51.0,65.0,93.0,100.0,100.0
2020,LAMAR,80.3,0.0,50.0,67.0,96.0,98.0,98.0
2021,LAMAR,64.3,3.0,50.0,66.0,95.0,95.0,95.0
2022,LAMAR,43.4,5.0,51.0,69.0,94.0,99.0,99.0
