Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2004,PARMER,225.8,70.0,70.0,70.0,70.0,98.0
2003,PARMER,200.0,73.0,73.0,100.0,100.0,99.0
2002,PARMER,199.7,75.0,75.0,100.0,100.0,99.0
2001,PARMER,190.7,69.0,69.0,69.0,69.0,98.0
2000,PARMER,184.2,80.0,80.0,80.0,80.0,97.0
2012,POTTER,96.6,70.0,70.0,70.0,70.0,95.0
2019,RANDALL,176.9,65.0,65.0,100.0,51.0,93.0
2017,RANDALL,136.4,71.0,71.0,100.0,45.0,96.0
2016,RANDALL,198.0,52.0,52.0,99.0,38.0,93.0
2015,RANDALL,143.7,56.0,2.0,100.0,20.0,83.0
2014,RANDALL,201.1,64.0,64.0,100.0,100.0,97.0
2013,RANDALL,143.0,69.0,69.0,98.0,98.0,95.0
2012,RANDALL,127.6,70.0,70.0,70.0,70.0,95.0
2010,RANDALL,162.5,61.0,61.0,61.0,61.0,97.0
2005,RANDALL,193.3,72.0,72.0,72.0,72.0,95.0
2004,RANDALL,210.0,70.0,70.0,70.0,70.0,98.0
2003,RANDALL,150.0,73.0,73.0,100.0,100.0,99.0
2002,RANDALL,145.6,75.0,75.0,100.0,100.0,99.0
2001,RANDALL,186.9,69.0,69.0,69.0,69.0,98.0
2000,RANDALL,118.8,80.0,80.0,80.0,80.0,97.0
2017,ROBERTS,217.4,71.0,71.0,100.0,45.0,96.0
2006,ROBERTS,198.0,80.0,80.0,80.0,80.0,99.0
2005,ROBERTS,208.4,72.0,72.0,72.0,72.0,95.0
2004,ROBERTS,208.6,70.0,70.0,70.0,70.0,98.0
2003,ROBERTS,190.5,73.0,73.0,100.0,100.0,99.0
2002,ROBERTS,203.2,75.0,75.0,100.0,100.0,99.0
2001,ROBERTS,173.9,69.0,69.0,69.0,69.0,98.0
2000,ROBERTS,184.0,80.0,80.0,80.0,80.0,97.0
2025,SHERMAN,219.0,74.0,74.0,97.0,55.0,93.0
2024,SHERMAN,196.2,71.0,3.0,100.0,57.0,92.0
2023,SHERMAN,194.5,74.0,5.0,100.0,52.0,92.0
2022,SHERMAN,173.6,69.0,5.0,99.0,51.0,94.0
2021,SHERMAN,209.6,66.0,3.0,3.0,50.0,95.0
2020,SHERMAN,205.0,67.0,67.0,98.0,50.0,96.0
2019,SHERMAN,198.8,65.0,65.0,100.0,51.0,93.0
2018,SHERMAN,179.1,70.0,70.0,96.0,43.0,90.0
2017,SHERMAN,220.9,71.0,71.0,100.0,45.0,96.0
2016,SHERMAN,220.8,52.0,52.0,99.0,38.0,93.0
2015,SHERMAN,219.4,56.0,2.0,100.0,20.0,83.0
2014,SHERMAN,212.3,64.0,64.0,100.0,100.0,97.0
2013,SHERMAN,206.5,69.0,69.0,98.0,98.0,95.0
2012,SHERMAN,199.1,70.0,70.0,70.0,70.0,95.0
2011,SHERMAN,129.0,66.0,66.0,100.0,100.0,98.0
2010,SHERMAN,222.8,61.0,61.0,61.0,61.0,97.0
2009,SHERMAN,206.9,74.0,74.0,100.0,100.0,98.0
2008,SHERMAN,208.0,66.0,66.0,99.0,99.0,97.0
2007,SHERMAN,221.0,70.0,70.0,70.0,70.0,98.0
2006,SHERMAN,198.0,80.0,80.0,80.0,80.0,99.0
2005,SHERMAN,195.4,72.0,72.0,72.0,72.0,95.0
2004,SHERMAN,205.3,70.0,70.0,70.0,70.0,98.0
2003,SHERMAN,199.9,73.0,73.0,100.0,100.0,99.0
2002,SHERMAN,202.6,75.0,75.0,100.0,100.0,99.0
2001,SHERMAN,168.1,69.0,69.0,69.0,69.0,98.0
2000,SHERMAN,177.0,80.0,80.0,80.0,80.0,97.0
2021,SWISHER,188.0,66.0,3.0,3.0,50.0,95.0
2020,SWISHER,150.0,67.0,67.0,98.0,50.0,96.0
2019,SWISHER,113.6,65.0,65.0,100.0,51.0,93.0
2015,SWISHER,155.0,56.0,2.0,100.0,20.0,83.0
2014,SWISHER,181.9,64.0,64.0,100.0,100.0,97.0
2013,SWISHER,162.2,69.0,69.0,98.0,98.0,95.0
2012,SWISHER,145.2,70.0,70.0,70.0,70.0,95.0
2011,SWISHER,106.0,66.0,66.0,100.0,100.0,98.0
2010,SWISHER,189.3,61.0,61.0,61.0,61.0,97.0
2009,SWISHER,183.6,74.0,74.0,100.0,100.0,98.0
2008,SWISHER,162.0,66.0,66.0,99.0,99.0,97.0
2007,SWISHER,200.0,70.0,70.0,70.0,70.0,98.0
2006,SWISHER,207.0,80.0,80.0,80.0,80.0,99.0
2005,SWISHER,186.4,72.0,72.0,72.0,72.0,95.0
2004,SWISHER,151.9,70.0,70.0,70.0,70.0,98.0
2003,SWISHER,190.7,73.0,73.0,100.0,100.0,99.0
2002,SWISHER,199.5,75.0,75.0,100.0,100.0,99.0
2001,SWISHER,122.6,69.0,69.0,69.0,69.0,98.0
2000,SWISHER,153.4,80.0,80.0,80.0,80.0,97.0
2019,OTHER (COMBINED) COUNTIES,70.6,65.0,65.0,100.0,51.0,93.0
2017,OTHER (COMBINED) COUNTIES,120.5,71.0,71.0,100.0,45.0,96.0
2016,OTHER (COMBINED) COUNTIES,103.9,52.0,52.0,99.0,38.0,93.0
2015,OTHER (COMBINED) COUNTIES,105.5,56.0,2.0,100.0,20.0,83.0
2014,OTHER (COMBINED) COUNTIES,153.9,64.0,64.0,100.0,100.0,97.0
